2021-03-26 21:24:04.156 [main] INFO  Main - program started!
2021-03-26 21:24:10.321 [main] INFO  pages.EnterPage.EnterPage - file 3.json opened!
2021-03-26 21:24:10.342 [main] INFO  pages.EnterPage.EnterPage - file 3.json closed!
2021-03-26 21:24:22.226 [main] INFO  pages.EnterPage.EnterPage - file 3.json opened!
2021-03-26 21:24:22.246 [main] INFO  pages.EnterPage.EnterPage - file 3.json closed!
2021-03-26 21:24:41.228 [main] INFO  models.ID - file lastID.txt opened.
2021-03-26 21:24:41.289 [main] INFO  models.ID - file lastID.txt closed.
2021-03-26 21:24:41.343 [main] INFO  models.User - file 43.json opened.
2021-03-26 21:24:41.376 [main] INFO  models.User - file 43.json closed.
2021-03-26 21:24:41.377 [main] INFO  pages.EnterPage.SignUp - user a registered.
2021-03-26 21:24:47.230 [main] INFO  pages.EnterPage.EnterPage - file 43.json opened!
2021-03-26 21:24:47.249 [main] INFO  pages.EnterPage.EnterPage - file 43.json closed!
2021-03-26 21:24:49.230 [main] INFO  models.User - file 43.json opened.
2021-03-26 21:24:49.253 [main] INFO  models.User - file 43.json closed.
2021-03-26 21:24:49.255 [main] INFO  models.User - file 43.json opened.
2021-03-26 21:24:49.763 [main] INFO  models.User - file 43.json closed.
2021-03-26 21:24:49.769 [main] INFO  pages.EnterPage.SignIn - user a signed in.
2021-03-26 21:24:49.793 [main] INFO  pages.MainPage - user a checked main page.
2021-03-26 21:24:51.235 [main] INFO  pages.PersonalPage.PersonalPage - user a checked personal page.
2021-03-26 21:24:56.234 [main] INFO  models.ID - file lastID.txt opened.
2021-03-26 21:24:56.241 [main] INFO  models.ID - file lastID.txt closed.
2021-03-26 21:24:56.244 [main] INFO  models.media.Tweet - file 44.json opened.
2021-03-26 21:24:56.548 [main] INFO  models.media.Tweet - file 44.json closed.
2021-03-26 21:24:56.549 [main] INFO  models.User - file 43.json opened.
2021-03-26 21:24:56.567 [main] INFO  models.User - file 43.json closed.
2021-03-26 21:24:56.569 [main] INFO  pages.PersonalPage.PersonalPage - user a tweeted.
2021-03-26 21:24:56.581 [main] INFO  pages.PersonalPage.PersonalPage - user a checked personal page.
2021-03-26 21:24:58.234 [main] INFO  models.media.Tweet - file 44.json opened.
2021-03-26 21:24:58.243 [main] INFO  models.media.Tweet - file 44.json closed.
2021-03-26 21:24:58.262 [main] INFO  models.User - file 43.json opened.
2021-03-26 21:24:58.278 [main] INFO  models.User - file 43.json closed.
2021-03-26 21:25:05.233 [main] INFO  models.ID - file lastID.txt opened.
2021-03-26 21:25:05.239 [main] INFO  models.ID - file lastID.txt closed.
2021-03-26 21:25:05.241 [main] INFO  models.media.Tweet - file 45.json opened.
2021-03-26 21:25:05.253 [main] INFO  models.media.Tweet - file 45.json closed.
2021-03-26 21:25:05.255 [main] INFO  models.User - file 43.json opened.
2021-03-26 21:25:05.282 [main] INFO  models.User - file 43.json closed.
2021-03-26 21:25:05.284 [main] INFO  models.media.Tweet - file 44.json opened.
2021-03-26 21:25:05.296 [main] INFO  models.media.Tweet - file 44.json closed.
2021-03-26 21:25:05.298 [main] INFO  pages.TweetWalk - user a added a comment on tweet 44.
2021-03-26 21:25:05.301 [main] INFO  models.User - file 43.json opened.
2021-03-26 21:25:05.318 [main] INFO  models.User - file 43.json closed.
2021-03-26 21:25:10.235 [main] INFO  models.media.Tweet - file 45.json opened.
2021-03-26 21:25:10.241 [main] INFO  models.media.Tweet - file 45.json closed.
2021-03-26 21:25:10.242 [main] INFO  models.User - file 43.json opened.
2021-03-26 21:25:10.253 [main] INFO  models.User - file 43.json closed.
2021-03-26 21:25:10.275 [main] INFO  models.User - file 43.json opened.
2021-03-26 21:25:10.291 [main] INFO  models.User - file 43.json closed.
2021-03-26 21:25:13.237 [main] INFO  models.User - file 43.json opened.
2021-03-26 21:25:13.248 [main] INFO  models.User - file 43.json closed.
2021-03-26 21:25:19.237 [main] INFO  models.ID - file lastID.txt opened.
2021-03-26 21:25:19.242 [main] INFO  models.ID - file lastID.txt closed.
2021-03-26 21:25:19.244 [main] INFO  models.media.Tweet - file 46.json opened.
2021-03-26 21:25:19.255 [main] INFO  models.media.Tweet - file 46.json closed.
2021-03-26 21:25:19.256 [main] INFO  models.User - file 43.json opened.
2021-03-26 21:25:19.275 [main] INFO  models.User - file 43.json closed.
2021-03-26 21:25:19.276 [main] INFO  models.media.Tweet - file 45.json opened.
2021-03-26 21:25:19.285 [main] INFO  models.media.Tweet - file 45.json closed.
2021-03-26 21:25:19.287 [main] INFO  pages.TweetWalk - user a added a comment on tweet 45.
2021-03-26 21:25:19.293 [main] INFO  models.User - file 43.json opened.
2021-03-26 21:25:19.303 [main] INFO  models.User - file 43.json closed.
2021-03-26 21:25:23.237 [main] INFO  models.media.Tweet - file 46.json opened.
2021-03-26 21:25:23.241 [main] INFO  models.media.Tweet - file 46.json closed.
2021-03-26 21:25:23.242 [main] INFO  models.User - file 43.json opened.
2021-03-26 21:25:23.250 [main] INFO  models.User - file 43.json closed.
2021-03-26 21:25:23.258 [main] INFO  models.User - file 43.json opened.
2021-03-26 21:25:23.268 [main] INFO  models.User - file 43.json closed.
2021-03-26 21:25:26.237 [main] INFO  CLI.CLI - user entered an invalid command!
2021-03-26 21:25:26.240 [main] INFO  models.User - file 43.json opened.
2021-03-26 21:25:26.257 [main] INFO  models.User - file 43.json closed.
2021-03-26 21:25:28.239 [main] INFO  models.User - file 43.json opened.
2021-03-26 21:25:28.253 [main] INFO  models.User - file 43.json closed.
2021-03-26 21:25:30.240 [main] INFO  models.User - file 43.json opened.
2021-03-26 21:25:30.248 [main] INFO  models.User - file 43.json closed.
2021-03-26 21:25:32.240 [main] INFO  pages.PersonalPage.PersonalPage - user a checked personal page.
2021-03-26 21:25:36.239 [main] INFO  pages.MainPage - user a checked main page.
2021-03-26 21:25:37.242 [main] INFO  pages.Settings.Settings - user a checked settings page.
2021-03-26 21:25:40.240 [main] INFO  pages.Settings.DeleteAccount - user a deleted his/her account.
2021-03-26 21:25:40.242 [main] INFO  pages.Settings.DeleteAccount - file 38.json opened.
2021-03-26 21:25:40.251 [main] INFO  pages.Settings.DeleteAccount - file 38.json closed.
2021-03-26 21:25:40.253 [main] INFO  pages.Settings.DeleteAccount - file 45.json opened.
2021-03-26 21:25:40.261 [main] INFO  pages.Settings.DeleteAccount - file 45.json closed.
2021-03-26 21:25:40.265 [main] INFO  pages.Settings.DeleteAccount - file 44.json opened.
2021-03-26 21:25:40.267 [main] INFO  pages.Settings.DeleteAccount - file 44.json closed.
2021-03-26 21:25:40.269 [main] INFO  pages.Settings.DeleteAccount - file 46.json opened.
2021-03-26 21:25:40.271 [main] INFO  pages.Settings.DeleteAccount - file 46.json closed.
2021-03-26 21:25:40.272 [main] INFO  pages.Settings.DeleteAccount - file 45.json deleted.
2021-03-26 21:25:40.273 [main] INFO  pages.Settings.DeleteAccount - file 44.json deleted.
2021-03-26 21:25:40.274 [main] INFO  pages.Settings.DeleteAccount - file 46.json deleted.
2021-03-26 21:25:40.276 [main] INFO  pages.Settings.DeleteAccount - file 43.json opened.
2021-03-26 21:25:40.284 [main] INFO  pages.Settings.DeleteAccount - file 43.json closed.
2021-03-26 21:25:40.285 [main] INFO  pages.Settings.DeleteAccount - file 3.json opened.
2021-03-26 21:25:40.287 [main] INFO  pages.Settings.DeleteAccount - file 3.json closed.
2021-03-26 21:25:40.289 [main] INFO  models.media.Message - file 38.json opened.
2021-03-26 21:25:40.292 [main] INFO  models.media.Message - file 38.json closed.
2021-03-26 21:25:40.293 [main] INFO  pages.Settings.DeleteAccount - file 43.json deleted.
